,locality,Year,house price
0,TOORAK,2009,2710000.0
1,EAST MELBOURNE,2009,1680000.0
2,CANTERBURY,2009,1680000.0
3,DEEPDENE,2009,1790500.0
4,MIDDLE PARK,2009,1300000.0
5,TOORAK,2010,2590000.0
6,EAST MELBOURNE,2010,1621000.0
7,CANTERBURY,2010,1827500.0
8,DEEPDENE,2010,1930000.0
9,MIDDLE PARK,2010,1512500.0
10,TOORAK,2011,2617500.0
11,EAST MELBOURNE,2011,1737500.0
12,CANTERBURY,2011,1730000.0
13,DEEPDENE,2011,2046500.0
14,MIDDLE PARK,2011,1345000.0
15,TOORAK,2012,2775000.0
16,EAST MELBOURNE,2012,2480000.0
17,CANTERBURY,2012,1790000.0
18,DEEPDENE,2012,1875000.0
19,MIDDLE PARK,2012,1420500.0
20,TOORAK,2013,2875000.0
21,EAST MELBOURNE,2013,1790000.0
22,CANTERBURY,2013,1950000.0
23,DEEPDENE,2013,1981000.0
24,MIDDLE PARK,2013,1587500.0
25,TOORAK,2014,3391000.0
26,EAST MELBOURNE,2014,1850000.0
27,CANTERBURY,2014,2100000.0
28,DEEPDENE,2014,2215000.0
29,MIDDLE PARK,2014,2125000.0
30,TOORAK,2015,3987500.0
31,EAST MELBOURNE,2015,2750000.0
32,CANTERBURY,2015,2523000.0
33,DEEPDENE,2015,2750000.0
34,MIDDLE PARK,2015,2317000.0
35,TOORAK,2016,4900000.0
36,EAST MELBOURNE,2016,3655000.0
37,CANTERBURY,2016,2620000.0
38,DEEPDENE,2016,2600000.0
39,MIDDLE PARK,2016,2238500.0
40,TOORAK,2017,5100000.0
41,EAST MELBOURNE,2017,3585000.0
42,CANTERBURY,2017,3140000.0
43,DEEPDENE,2017,2862500.0
44,MIDDLE PARK,2017,2370000.0
45,TOORAK,2018,4700000.0
46,EAST MELBOURNE,2018,2675000.0
47,CANTERBURY,2018,2536500.0
48,DEEPDENE,2018,2692500.0
49,MIDDLE PARK,2018,2650000.0
50,TOORAK,2019,4361000.0
51,EAST MELBOURNE,2019,3413500.0
52,CANTERBURY,2019,2832500.0
53,DEEPDENE,2019,2758000.0
54,MIDDLE PARK,2019,2705000.0
55,TOORAK,2020,4500000.0
56,EAST MELBOURNE,2020,2350000.0
57,CANTERBURY,2020,2250000.0
58,DEEPDENE,2020,
59,MIDDLE PARK,2020,3555000.0
